Altium Designer Pick and Place Locations
D:\Files\Projects\UWB_board\Project Outputs for UWB_board\Pick Place\Pick Place for UWB_board.csv

========================================================================================================================
File Design Information:

Date:       16.01.26
Time:       20:18
Revision:   de58467d55624e2f965d264ff996aec1d0987bb2
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description","LCSC Part #"
"R17","10k","TopLayer","0603_res","44.2000","49.0000","90","10kO -55?~+155? 100mW 75V Thick Film Resistor ±1% ±100ppm/? 0603 Chip Resistor - Surface Mount ROHS","C25804"
"R16","10k","TopLayer","0603_res","42.6999","49.0000","90","10kO -55?~+155? 100mW 75V Thick Film Resistor ±1% ±100ppm/? 0603 Chip Resistor - Surface Mount ROHS","C25804"
"U3","LDO","TopLayer","SOT95P280X145-5N","39.5000","24.2500","0","","C2862740"
"U4","LSM6DSVETR","TopLayer","LGA14-L_2p59x3P1x0P5_STM","48.2000","49.0000","180","6-axis IMU with embedded sensor fusion, I3C, OIS/EIS for smart applications","C41785564"
"C26","100nF","TopLayer","0603_cap","48.3000","51.2000","0","100nF 50V X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C14663"
"C25","100nF","TopLayer","0603_cap","45.7000","49.0000","270","100nF 50V X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C14663"
"C24","100nF","TopLayer","0603_cap","52.0936","49.4067","0","100nF 50V X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C14663"
"C23","100nF","TopLayer","0603_cap","52.0936","47.9074","0","100nF 50V X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C14663"
"C22","100nF","TopLayer","0603_cap","52.1000","46.4000","0","100nF 50V X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C14663"
"C21","1uF","TopLayer","0603_cap","52.1000","50.9000","0","1uF 50V X5R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C15849"
"U1","STM32L433CCT","BottomLayer","LQFP50","48.6550","34.5500","270","",""
"J4","USART","TopLayer","JST_B5B-XH-A","57.7750","27.2500","90","comunication to master",""
"X1","Q13FC13500004","TopLayer","SMD3215-2P","48.4973","36.0000","180","-40?~+85? 12.5pF 32.768kHz 70kO Crystal Oscillator ±20ppm SMD3215-2P Crystals ROHS","C32346"
"U5","DWM3000","BottomLayer","DWM1000","48.3400","48.8425","180","3.5 - 6.5 GHz Ultra-Wideband (UWB) Transceiver Module",""
"U2","ESD","TopLayer","sot-23-6L_ESD","48.7500","22.0000","0","-55?~+155? 12.5V 1pF 5 5A 5V 5uA 6V 75W ESD IEC 61000-4-2 Unidirectional SOT-23-6L ESD and Surge Protection (TVS/ESD) ROHS","C7420376"
"S2","TS-1088-AR02016","TopLayer","SW_TS-1088-AR02016","57.2500","43.2500","180","50mA 4mm 100MÎ© 100,000 Times 12V 160gf 3mm 2mm Round Button Vertical welding SPST SMD Tactile Switches ROHS","C720477"
"S1","TS-1088-AR02016","TopLayer","SW_TS-1088-AR02016","57.2500","48.8500","180","50mA 4mm 100MÎ© 100,000 Times 12V 160gf 3mm 2mm Round Button Vertical welding SPST SMD Tactile Switches ROHS","C720477"
"R15","82k","TopLayer","0603_res","44.2500","53.0000","270","82kO -55?~+155? 100mW 75V Thick Film Resistor ±1% ±100ppm/? 0603 Chip Resistor - Surface Mount ROHS","C23254"
"R14","5.1k","TopLayer","0603_res","58.7500","40.7500","180","5.1kO -55?~+155? 100mW 75V Thick Film Resistor ±1% ±100ppm/? 0603 Chip Resistor - Surface Mount ROHS","C23186"
"R13","100k","TopLayer","0603_res","44.6840","21.8440","270","100kO -55?~+155? 100kO 100mW 75V Thick Film Resistor ±1% ±100ppm/? 0603 Chip Resistor - Surface Mount ROHS","C25803"
"R12","Empty 0603","TopLayer","0603_empty","56.7500","15.7500","90","empty space for 0603 device","None"
"R11","82k","TopLayer","0603_res","57.5000","38.0000","180","82kO -55?~+155? 100mW 75V Thick Film Resistor ±1% ±100ppm/? 0603 Chip Resistor - Surface Mount ROHS","C23254"
"R10","33k","TopLayer","0603_res","57.5000","36.5000","0","33kO -55?~+155? 100mW 75V Thick Film Resistor ±1% ±100ppm/? 0603 Chip Resistor - Surface Mount ROHS","C4216"
"R9","0R","TopLayer","0603_res","40.5000","15.7500","90","0O -55?~+155? 100mW 75V Thick Film Resistor ±1% ±100ppm/? 0603 Chip Resistor - Surface Mount ROHS","C21189"
"R8","100k","TopLayer","0603_res","50.5000","28.7500","180","100kO -55?~+155? 100kO 100mW 75V Thick Film Resistor ±1% ±100ppm/? 0603 Chip Resistor - Surface Mount ROHS","C25803"
"R7","100k","TopLayer","0603_res","46.7500","28.7500","0","100kO -55?~+155? 100kO 100mW 75V Thick Film Resistor ±1% ±100ppm/? 0603 Chip Resistor - Surface Mount ROHS","C25803"
"R6","5.1k","TopLayer","0603_res","51.2500","26.5000","270","5.1kO -55?~+155? 100mW 75V Thick Film Resistor ±1% ±100ppm/? 0603 Chip Resistor - Surface Mount ROHS","C23186"
"R5","5.1k","TopLayer","0603_res","46.0000","26.5000","270","5.1kO -55?~+155? 100mW 75V Thick Film Resistor ±1% ±100ppm/? 0603 Chip Resistor - Surface Mount ROHS","C23186"
"R4","100k","TopLayer","0603_res","49.7500","26.5000","270","100kO -55?~+155? 100kO 100mW 75V Thick Film Resistor ±1% ±100ppm/? 0603 Chip Resistor - Surface Mount ROHS","C25803"
"R3","100k","TopLayer","0603_res","47.5000","26.5000","270","100kO -55?~+155? 100kO 100mW 75V Thick Film Resistor ±1% ±100ppm/? 0603 Chip Resistor - Surface Mount ROHS","C25803"
"R2","820","TopLayer","0603_res","41.2340","43.5440","180","820O -55?~+155? 100mW 75V Thick Film Resistor ±1% ±100ppm/? 0603 Chip Resistor - Surface Mount ROHS","C23253"
"R1","220","TopLayer","0603_res","41.2340","46.0440","180","220O -55?~+155? 100mW 75V Thick Film Resistor ±1% ±100ppm/? 0603 Chip Resistor - Surface Mount ROHS","C22962"
"J5","14 pin","BottomLayer","FTSH14","48.5950","21.0730","90","For SWD debug",""
"J3","USB C","TopLayer","UJ20CHGSMT5P16TR","48.6608","15.3071","0","Type C, USB 2.0, 480 Mbps, 48 Vac, 5 A, Horizontal, Gold Plated 3u, Surface Mount with post, 16 pin, USB Receptacle","C22383469"
"J1","PinHeader","BottomLayer","PINs","34.3650","34.7860","90","",""
"D2","KT-0603R","TopLayer","0603_LED","37.9840","43.5440","180","-40?~+85? 120° 2.4V 20mA 300mcd 40mW 615nm~630nm 645nm Red Water Clear 0603 LED Indication - Discrete ROHS","C2286"
